TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Plag1	Fzd5	-0.94112	50.56	-5.6E-01	rgb( 96,143,238)	1.9936	None
Prox1	Lgr4	0.94112	50.56	0.563	rgb(223,109,111)	1.9936	None
Rel	Lgals3bp	0.94112	50.56	0.559	rgb(223,110,111)	1.9936	2,2
Rfx2	Wisp1	0.94112	50.56	0.556	rgb(223,111,112)	1.9936	2,2
Rorc	Kcnmb4	0.94112	50.56	0.564	rgb(223,109,110)	1.9936	None
Runx1	Nek6	0.94112	50.56	0.558	rgb(223,110,112)	1.9936	None
Rxra	Lmo7	0.94112	50.56	0.564	rgb(223,109,110)	1.9936	None
Smad3	Ctsw	0.94112	50.56	0.56	rgb(223,110,111)	1.9936	2,2
Smad3	Cttn	0.94112	50.56	0.563	rgb(223,110,111)	1.9936	None
Stat1	Gimap4	0.94112	50.56	0.562	rgb(223,110,111)	1.9936	None
Stat1	Treml2	0.94112	50.56	0.557	rgb(223,111,112)	1.9936	None
Stat3	Ubash3a	-0.94112	50.56	-5.6E-01	rgb( 95,143,238)	1.9936	None
Stat5b	Pgs1	0.94112	50.56	0.562	rgb(223,110,111)	1.9936	2,2
Vdr	Tab2	0.94112	50.56	0.562	rgb(223,110,111)	1.9936	None
Yy2	Utp20	0.94112	50.56	0.563	rgb(223,109,111)	1.9936	None
Zfp263	Smyd5	-0.94112	50.56	-5.6E-01	rgb( 96,143,238)	1.9936	None
Aebp2	Zdhhc15	-0.94112	50.56	-5.6E-01	rgb( 96,144,238)	1.9936	2,2
Ankzf1	Rgs11	0.94112	50.56	0.56	rgb(223,110,111)	1.9936	2,2
Dach2	Gpr141	0.94112	50.56	0.559	rgb(223,110,111)	1.9936	2,2
Foxp2	Sh2d4a	0.94112	50.56	0.556	rgb(223,111,112)	1.9936	2,2
