TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Pou6f1	Ccr5	0.93897	50.61	0.61	rgb(224,100,102)	1.994	2,2
Rorc	C2cd4d	0.93897	50.61	0.614	rgb(224,100,101)	1.994	2,2
Rxra	Slain1	0.93897	50.61	0.608	rgb(224,101,102)	1.994	None
Smad3	Bcl3	0.93897	50.61	0.605	rgb(224,101,103)	1.994	None
Sp3	Lgals1	-0.93897	50.61	-6.1E-01	rgb( 84,136,240)	1.994	None
Sp4	Chd7	0.93897	50.61	0.608	rgb(224,101,102)	1.994	None
Sp4	Neto2	-0.93897	50.61	-6.1E-01	rgb( 84,136,240)	1.994	None
Sp6	Lrrc66	-0.93897	50.61	-6.1E-01	rgb( 84,136,240)	1.994	2,2
Stat1	Slain1	0.93897	50.61	0.615	rgb(224,100,101)	1.994	None
Tcf12	Pafah1b3	-0.93897	50.61	-6.1E-01	rgb( 84,136,240)	1.994	2,2
Tcf4	Fads2	0.93897	50.61	0.606	rgb(224,101,102)	1.994	2,2
Tead1	Fut7	0.93897	50.61	0.613	rgb(224,100,101)	1.994	2,2
Vax2	Myo1f	0.93897	50.61	0.606	rgb(224,101,103)	1.994	2,2
Vax2	Nebl	0.93897	50.61	0.613	rgb(224,100,101)	1.994	2,2
Zfp467	Sspo	0.93897	50.61	0.609	rgb(224,101,102)	1.994	2,2
Ankzf1	Pdia2	0.93897	50.61	0.612	rgb(224,100,101)	1.994	2,2
C030039L03Rik	Kcnc3	0.93897	50.61	0.613	rgb(224,100,101)	1.994	2,2
Zfp358	Sorcs2	-0.93897	50.61	-6.1E-01	rgb( 85,137,240)	1.994	2,2
Zfp429	Megf8	-0.93897	50.61	-6.1E-01	rgb( 84,136,240)	1.994	2,2
Zfp787	Ocrl	-0.93897	50.61	-6.1E-01	rgb( 84,136,240)	1.994	2,2
Arid5a	Rel	-0.93686	50.6	-6.0E-01	rgb( 86,138,240)	1.9938	None
Batf	Slamf9	-0.93686	50.6	-6.0E-01	rgb( 87,138,240)	1.9938	2,2
Cebpg	Chac1	0.93686	50.6	0.598	rgb(224,103,104)	1.9938	2,2
E2f1	Tbc1d5	0.93686	50.6	0.597	rgb(224,103,104)	1.9938	None
Egr1	Nr4a1	0.93686	50.6	0.6	rgb(224,102,104)	1.9938	None
Elf1	Mafg	-0.93686	50.6	-6.0E-01	rgb( 86,138,240)	1.9938	None
Elf1	Stk4	0.93686	50.6	0.595	rgb(224,103,104)	1.9938	None
Elk4	Tacc1	0.93686	50.6	0.602	rgb(224,102,103)	1.9938	2,2
Etv4	Mboat7	0.93686	50.6	0.597	rgb(224,103,104)	1.9938	2,2
Fosl2	Il4ra	0.93686	50.6	0.601	rgb(224,102,103)	1.9938	None
Fosl2	Tbc1d30	0.93686	50.6	0.603	rgb(224,102,103)	1.9938	None
Foxo1	Stap1	-0.93686	50.6	-6.0E-01	rgb( 87,138,240)	1.9938	None
Hbp1	Ifnar1	0.93686	50.6	0.599	rgb(224,103,104)	1.9938	None
Hlx	Tmem163	0.93686	50.6	0.6	rgb(224,102,104)	1.9938	2,2
Ikzf2	Trib1	0.93686	50.6	0.599	rgb(224,103,104)	1.9938	2,2
Irf1	Gbp4	0.93686	50.6	0.602	rgb(224,102,103)	1.9938	None
Irf1	Gbp7	0.93686	50.6	0.602	rgb(224,102,103)	1.9938	None
Irf2	Znhit6	0.93686	50.6	0.601	rgb(224,102,103)	1.9938	None
Irf4	Hdac9	-0.93686	50.6	-6.0E-01	rgb( 87,138,240)	1.9938	None
Klf13	Acss1	0.93686	50.6	0.602	rgb(224,102,103)	1.9938	None
Klf2	Kcna3	-0.93686	50.6	-6.0E-01	rgb( 88,138,240)	1.9938	None
Klf3	Asap1	0.93686	50.6	0.602	rgb(224,102,103)	1.9938	None
Klf4	Gbp2	0.93686	50.6	0.603	rgb(224,102,103)	1.9938	None
Mybl1	4632434I11Rik	0.93686	50.6	0.6	rgb(224,102,104)	1.9938	2,2
Nr2f6	Cd2	-0.93686	50.6	-6.0E-01	rgb( 87,138,240)	1.9938	None
Nr3c1	Kif13b	0.93686	50.6	0.602	rgb(224,102,103)	1.9938	None
Nr4a2	Arhgap26	-0.93686	50.6	-6.0E-01	rgb( 87,138,240)	1.9938	None
Patz1	Mboat7	0.93686	50.6	0.596	rgb(224,103,104)	1.9938	2,2
Rest	Rbm15	0.93686	50.6	0.605	rgb(224,102,103)	1.9938	None
Rxra	Fas	-0.93686	50.6	-6.0E-01	rgb( 87,138,240)	1.9938	None
Six5	Skil	-0.93686	50.6	-6.0E-01	rgb( 87,138,240)	1.9938	None
Sp2	Drosha	0.93686	50.6	0.595	rgb(224,103,104)	1.9938	None
Srebf1	Hmgcr	0.93686	50.6	0.604	rgb(224,102,103)	1.9938	None
Yy2	Slfn3	0.93686	50.6	0.602	rgb(224,102,103)	1.9938	None
Ankzf1	Rbfox2	0.93686	50.6	0.604	rgb(224,102,103)	1.9938	2,2
Ncoa1	Tmem184b	0.93686	50.6	0.597	rgb(224,103,104)	1.9938	2,2
Phf1	Galk1	-0.93686	50.6	-6.0E-01	rgb( 87,138,240)	1.9938	2,2
Setdb2	Rara	-0.93686	50.6	-6.0E-01	rgb( 88,138,240)	1.9938	2,2
Skil	Slco4a1	-0.93686	50.6	-6.0E-01	rgb( 87,138,240)	1.9938	2,2
Zfp367	Exo1	0.93686	50.6	0.602	rgb(224,102,103)	1.9938	2,2
